,number,fitness (opposite of the  mean episode reward),params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_log_std_init,params_lr,params_net_arch,params_target_entropy,params_tau,params_train_freq,system_attrs__number,state
137,137,-95.5487213134766,64,1000000,0.1,0.9999,-3.67899131831801,0.000338384296764,big,,0.01,32,137,COMPLETE
172,172,-95.5446166992187,64,1000000,0.1,0.9999,-2.58069332304935,0.000569310859909,small,,0.01,32,172,COMPLETE
335,335,-95.5346527099609,512,10000,0.1,0.95,-2.30023972566183,0.000928300331334,medium,,0.02,32,335,COMPLETE
48,48,-95.4939575195312,512,1000000,0.1,0.95,-3.39573650494956,0.001217592709431,big,,0.01,32,48,COMPLETE
105,105,-95.4704437255859,512,10000,0.1,0.95,-3.07116987699135,0.006994802514904,small,,0.01,32,105,COMPLETE
245,245,-95.452751159668,512,10000,0.1,0.9999,-2.19623758547885,0.000257775915067,medium,,0.01,64,245,COMPLETE
351,351,-95.420768737793,512,10000,0.1,0.99,-2.56473736807447,0.000201791299054,medium,,0.02,32,351,PRUNED
40,40,-95.4175338745117,64,1000000,0.1,0.95,-3.15872900970074,0.001094454760296,big,,0.01,32,40,COMPLETE
272,272,-95.4114227294922,512,10000,0.1,0.9999,-2.87878097229993,9.43766838010753E-05,medium,,0.02,32,272,COMPLETE
186,186,-95.406623840332,64,1000000,0.1,0.995,-2.73660565549349,0.001026372351558,medium,,0.005,32,186,COMPLETE
177,177,-95.3693237304688,256,100000,0.05,0.9999,-3.53786693316417,0.001363460080164,small,,0.01,8,177,COMPLETE
436,436,-95.3594207763672,512,10000,0.05,0.95,-2.20566550719932,0.001053698700215,medium,,0.02,64,436,COMPLETE
437,437,-95.3455963134766,512,10000,0.05,0.95,-2.47154335643892,0.000997842261144,medium,,0.02,16,437,COMPLETE
47,47,-95.3336868286133,512,100000,0.01,0.9999,-1.52948846643176,0.001213180292087,small,,0.02,32,47,COMPLETE
443,443,-95.3258514404297,512,10000,0.1,0.95,-2.46265448702527,0.00102497454817,medium,,0.02,64,443,COMPLETE
163,163,-95.3215484619141,64,1000000,0.1,0.99,-3.27682267319168,0.00395930745819,small,,0.01,32,163,COMPLETE
103,103,-95.3090667724609,512,10000,0.1,0.95,-2.48051419046384,0.001470609258197,small,,0.005,32,103,COMPLETE
71,71,-95.2803497314453,256,1000000,0.1,0.9999,-3.88481444268191,0.000752250465182,big,,0.01,32,71,COMPLETE
354,354,-95.2650604248047,512,10000,0.1,0.995,-2.53115354273134,0.001052321529996,medium,,0.02,32,354,PRUNED
65,65,-95.2380676269531,64,10000,0.1,0.9999,-3.7160207368055,0.002096217538943,small,,0.01,128,65,COMPLETE
336,336,-95.2199478149414,512,10000,0.1,0.95,-2.30320463046463,0.000597953422271,medium,,0.02,32,336,PRUNED
162,162,-95.2168579101562,64,1000000,0.1,0.9999,-3.23891936718049,0.000683109070125,small,,0.01,32,162,COMPLETE
174,174,-95.1883316040039,64,1000000,0.1,0.9999,-2.57592993242621,0.000428257737696,small,,0.01,32,174,COMPLETE
110,110,-95.171501159668,64,1000000,0.1,0.9999,-2.51891147892361,0.003101300631625,small,,0.01,64,110,COMPLETE
346,346,-95.125,512,10000,0.1,0.99,-2.63691992092412,0.000201573443611,medium,,0.02,32,346,COMPLETE
187,187,-95.0816802978516,64,1000000,0.1,0.995,-2.74880297473957,0.000986706954818,medium,,0.005,32,187,COMPLETE
405,405,-95.0560531616211,512,10000,0.1,0.9999,-2.54572599129299,0.000324323222375,medium,,0.005,16,405,COMPLETE
330,330,-95.0155487060547,512,10000,0.1,0.9999,-2.31349882107532,0.001899890634788,medium,,0.01,32,330,PRUNED
184,184,-94.9929351806641,256,100000,0.1,0.9999,-3.88898804803762,0.000970288413041,small,,0.005,32,184,COMPLETE
306,306,-94.9731674194336,512,10000,0.1,0.9999,-2.79175117865063,0.011151612533287,medium,,0.005,32,306,PRUNED
325,325,-94.9618759155274,512,10000,0.1,0.9999,-1.91414908856438,0.000427019034225,small,,0.01,32,325,PRUNED
124,124,-94.9357528686523,64,1000000,0.1,0.98,-3.6208713986309,0.005668343738397,big,,0.01,8,124,COMPLETE
428,428,-94.9222717285156,16,10000,0.1,0.9999,-1.95456261450412,0.000672778773787,medium,,0.02,32,428,PRUNED
377,377,-94.9164581298828,512,10000,0.1,0.9999,-2.26228118933298,0.000610352346518,medium,,0.02,16,377,PRUNED
459,459,-94.8923797607422,32,10000,0.1,0.9999,-2.11304073396189,0.000572487098366,medium,,0.02,64,459,PRUNED
345,345,-94.8289566040039,512,10000,0.05,0.99,-2.65099792798959,0.001463284234511,medium,,0.02,32,345,PRUNED
164,164,-94.8236236572266,64,1000000,0.1,0.99,-3.27951481700745,0.001008358811765,small,,0.01,32,164,COMPLETE
438,438,-94.8027496337891,512,10000,0.05,0.95,-2.22067854280091,0.001026419451063,medium,,0.02,64,438,PRUNED
80,80,-94.7851333618164,64,1000000,0.1,0.98,-2.66284021097924,0.000850620712419,big,,0.005,32,80,COMPLETE
60,60,-94.7842559814453,512,100000,0.01,0.9999,-3.73823998258569,0.00189216626661,small,,0.01,32,60,COMPLETE
99,99,-94.7507095336914,64,1000000,0.1,0.9999,-3.06792499306882,0.007612829780709,big,,0.005,32,99,COMPLETE
128,128,-94.7432403564453,64,1000000,0.1,0.98,-3.61735800330096,0.002387074844663,big,,0.01,8,128,COMPLETE
490,490,-94.7396469116211,32,10000,0.1,0.9999,-1.66416706922159,0.002054601252812,medium,,0.02,64,490,PRUNED
22,22,-94.7259674072266,128,1000000,0.1,0.9999,-2.38013668095178,0.000431317515783,medium,,0.001,16,22,COMPLETE
151,151,-94.7247848510742,16,1000000,0.1,0.999,-2.29553968581859,0.001261098692399,small,,0.01,16,151,COMPLETE
55,55,-94.7068099975586,64,10000,0.1,0.995,-3.54065432678875,0.002098408603782,small,,0.01,256,55,COMPLETE
467,467,-94.6942367553711,32,10000,auto,0.9999,-1.75593991838907,0.000541951735349,medium,-0.876938813748866,0.02,64,467,PRUNED
130,130,-94.6836090087891,32,1000000,0.1,0.98,-3.19204842736666,0.000344691145915,big,,0.01,32,130,COMPLETE
